[23:07:35] [INFO] received Windows console close event; shutting log-core down
[23:20:25] [INFO] received Windows console close event; shutting log-core down
[23:31:41] [INFO] received Windows console close event; shutting log-core down
[23:34:04] [INFO] received Windows console close event; shutting log-core down
[23:35:55] [INFO] received Windows console close event; shutting log-core down
[23:38:32] [INFO] received Windows console close event; shutting log-core down
[23:39:16] [INFO] received Windows console close event; shutting log-core down
[23:53:18] [INFO] received Windows console close event; shutting log-core down
[00:13:28] [INFO] received Windows console close event; shutting log-core down
[14:54:09] [INFO] received Windows console close event; shutting log-core down
[14:55:28] [INFO] received Windows console close event; shutting log-core down
[16:29:19] [INFO] received Windows console close event; shutting log-core down
[16:37:56] [INFO] received Windows console close event; shutting log-core down
[16:46:02] [INFO] received Windows console close event; shutting log-core down
[16:50:48] [INFO] received Windows console close event; shutting log-core down
[16:54:21] [INFO] received Windows console close event; shutting log-core down
[17:02:53] [INFO] received Windows console close event; shutting log-core down
[17:02:54] [INFO] received Windows console close event; shutting log-core down
[17:06:03] [INFO] received Windows console close event; shutting log-core down
[17:16:42] [INFO] received Windows console close event; shutting log-core down
[17:17:35] [INFO] received Windows console close event; shutting log-core down
[17:18:31] [INFO] received Windows console close event; shutting log-core down
[19:58:56] [INFO] received Windows console close event; shutting log-core down
[20:06:09] [INFO] received Windows console close event; shutting log-core down
[20:06:42] [INFO] received Windows console close event; shutting log-core down
[20:08:29] [INFO] received Windows console close event; shutting log-core down
[20:12:56] [INFO] received Windows console close event; shutting log-core down
[20:14:25] [INFO] received Windows console close event; shutting log-core down
[20:15:01] [INFO] received Windows console close event; shutting log-core down
[20:21:18] [INFO] received Windows console close event; shutting log-core down
[20:24:08] [INFO] received Windows console close event; shutting log-core down
[20:24:44] [INFO] received Windows console close event; shutting log-core down
[20:32:00] [INFO] received Windows console close event; shutting log-core down
[20:33:48] [INFO] received Windows console close event; shutting log-core down
[20:34:23] [INFO] received Windows console close event; shutting log-core down
[20:40:14] [INFO] received Windows console close event; shutting log-core down
[20:48:35] [INFO] received Windows console close event; shutting log-core down
[20:55:52] [INFO] received Windows console close event; shutting log-core down
[21:00:01] [INFO] received Windows console close event; shutting log-core down
[21:01:21] [INFO] received Windows console close event; shutting log-core down
[21:03:09] [INFO] received Windows console close event; shutting log-core down
[21:07:56] [INFO] received Windows console close event; shutting log-core down
[21:11:01] [INFO] received Windows console close event; shutting log-core down
[21:27:08] [INFO] received Windows console close event; shutting log-core down
[21:29:24] [INFO] received Windows console close event; shutting log-core down
[21:32:38] [INFO] received Windows console close event; shutting log-core down
[21:34:20] [INFO] received Windows console close event; shutting log-core down
[21:35:20] [INFO] received Windows console close event; shutting log-core down
[22:19:54] [INFO] received Windows console close event; shutting log-core down
[00:19:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:38:01] [INFO] received Windows console close event; shutting log-core down
[00:38:08] [INFO] received Windows console close event; shutting log-core down
[00:41:15] [INFO] received Windows console close event; shutting log-core down
[00:48:14] [INFO] received Windows console close event; shutting log-core down
[00:52:21] [INFO] received Windows console close event; shutting log-core down
[00:55:50] [INFO] received Windows console close event; shutting log-core down
[00:57:38] [INFO] received Windows console close event; shutting log-core down
[01:03:00] [INFO] received Windows console close event; shutting log-core down
[01:03:48] [INFO] received Windows console close event; shutting log-core down
[01:05:45] [INFO] received Windows console close event; shutting log-core down
[01:12:26] [INFO] received Windows console close event; shutting log-core down
[01:15:56] [INFO] received Windows console close event; shutting log-core down
[01:17:39] [INFO] received Windows console close event; shutting log-core down
[01:18:54] [INFO] received Windows console close event; shutting log-core down
[01:18:55] [INFO] received Windows console close event; shutting log-core down
[01:21:49] [INFO] received Windows console close event; shutting log-core down
[01:26:05] [INFO] received Windows console close event; shutting log-core down
[01:29:56] [INFO] received Windows console close event; shutting log-core down
[01:31:48] [INFO] received Windows console close event; shutting log-core down
[01:34:06] [INFO] received Windows console close event; shutting log-core down
[01:37:03] [INFO] received Windows console close event; shutting log-core down
[13:14:36] [INFO] received Windows console close event; shutting log-core down
[13:17:41] [INFO] received Windows console close event; shutting log-core down
[13:17:46] [INFO] received Windows console close event; shutting log-core down
[13:21:44] [INFO] received Windows console close event; shutting log-core down
[13:28:40] [INFO] received Windows console close event; shutting log-core down
[13:40:10] [INFO] received Windows console close event; shutting log-core down
[14:11:21] [INFO] received Windows console close event; shutting log-core down
[14:17:37] [INFO] received Windows console close event; shutting log-core down
[14:26:19] [INFO] received Windows console close event; shutting log-core down
[14:40:07] [INFO] received Windows console close event; shutting log-core down
[14:44:13] [INFO] received Windows console close event; shutting log-core down
[14:53:23] [INFO] received Windows console close event; shutting log-core down
[14:55:36] [INFO] received Windows console close event; shutting log-core down
[14:58:57] [INFO] received Windows console close event; shutting log-core down
[15:24:35] [INFO] received Windows console close event; shutting log-core down
[15:28:37] [INFO] received Windows console close event; shutting log-core down
[15:35:52] [INFO] received Windows console close event; shutting log-core down
[15:38:18] [INFO] received Windows console close event; shutting log-core down
[15:56:28] [INFO] received Windows console close event; shutting log-core down
[15:58:29] [INFO] received Windows console close event; shutting log-core down
[16:02:01] [INFO] received Windows console close event; shutting log-core down
[16:03:40] [INFO] received Windows console close event; shutting log-core down
[16:16:01] [INFO] received Windows console close event; shutting log-core down
[17:42:53] [INFO] received Windows console close event; shutting log-core down
[18:00:56] [INFO] received Windows console close event; shutting log-core down
[18:03:52] [INFO] received Windows console close event; shutting log-core down
[18:05:20] [INFO] received Windows console close event; shutting log-core down
[18:13:51] [INFO] received Windows console close event; shutting log-core down
[18:22:08] [INFO] received Windows console close event; shutting log-core down
[19:33:57] [INFO] received Windows console close event; shutting log-core down
[19:34:52] [INFO] received Windows console close event; shutting log-core down
[19:36:23] [INFO] received Windows console close event; shutting log-core down
[19:56:26] [INFO] received Windows console close event; shutting log-core down
[21:10:15] [INFO] received Windows console close event; shutting log-core down
[21:33:31] [INFO] received Windows console close event; shutting log-core down
[22:40:03] [INFO] received Windows console close event; shutting log-core down
[22:46:54] [INFO] received Windows console close event; shutting log-core down
[22:47:08] [INFO] received Windows console close event; shutting log-core down
[22:47:44] [INFO] received Windows console close event; shutting log-core down
[23:03:01] [INFO] received Windows console close event; shutting log-core down
[23:19:19] [INFO] received Windows console close event; shutting log-core down
[00:45:33] [INFO] received Windows console close event; shutting log-core down
[00:35:44] [INFO] received Windows console close event; shutting log-core down
[01:15:00] [INFO] received Windows console close event; shutting log-core down
[01:42:10] [INFO] received Windows console close event; shutting log-core down
[01:45:09] [INFO] received Windows console close event; shutting log-core down
[01:45:10] [INFO] received Windows console close event; shutting log-core down
[00:51:15] [INFO] received Windows console close event; shutting log-core down
[00:59:59] [INFO] received Windows console close event; shutting log-core down
[01:03:38] [INFO] received Windows console close event; shutting log-core down
[01:05:01] [INFO] received Windows console close event; shutting log-core down
[01:10:06] [INFO] received Windows console close event; shutting log-core down
[01:15:10] [INFO] received Windows console close event; shutting log-core down
[01:30:55] [INFO] received Windows console close event; shutting log-core down
[02:01:12] [INFO] received Windows console close event; shutting log-core down
[02:48:01] [INFO] received Windows console close event; shutting log-core down
[03:38:10] [INFO] received Windows console close event; shutting log-core down
[03:39:40] [INFO] received Windows console close event; shutting log-core down
[04:16:17] [INFO] received Windows console close event; shutting log-core down
[04:43:35] [INFO] received Windows console close event; shutting log-core down
[05:17:56] [INFO] received Windows console close event; shutting log-core down
[05:38:15] [INFO] received Windows console close event; shutting log-core down
[05:38:54] [INFO] received Windows console close event; shutting log-core down
[05:51:38] [INFO] received Windows console close event; shutting log-core down
[15:22:53] [INFO] received Windows console close event; shutting log-core down
[15:49:15] [INFO] received Windows console close event; shutting log-core down
[16:30:25] [INFO] received Windows console close event; shutting log-core down
[16:30:29] [INFO] received Windows console close event; shutting log-core down
[17:41:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:54:30] [INFO] received Windows console close event; shutting log-core down
[18:05:19] [INFO] received Windows console close event; shutting log-core down
[18:09:18] [INFO] received Windows console close event; shutting log-core down
[18:20:07] [INFO] received Windows console close event; shutting log-core down
[22:12:35] [INFO] received Windows console close event; shutting log-core down
[22:14:53] [INFO] received Windows console close event; shutting log-core down
[22:16:44] [INFO] received Windows console close event; shutting log-core down
